loss,acc,test_loss,test_acc
0.19296,0.938,0.81186,0.72937
0.63293,0.812,0.87321,0.72500
0.24620,0.875,0.84178,0.73687
0.57502,0.750,0.83989,0.73250
0.58441,0.875,0.79605,0.73875
0.50625,0.812,0.82078,0.73188
0.54919,0.812,0.78722,0.74438
0.36721,0.875,0.77799,0.74687
0.52730,0.938,0.77408,0.75500
0.54893,0.812,0.74996,0.76125
0.30776,0.938,0.82683,0.72562
0.62062,0.812,0.90787,0.70625
0.85550,0.688,0.79019,0.74750
0.18948,1.000,0.76016,0.74813
0.82123,0.812,0.77245,0.73750
0.54487,0.812,0.79539,0.73062
0.14732,0.938,0.78336,0.73375
1.26928,0.625,0.80371,0.73250
0.25323,0.938,0.79907,0.73813
0.25939,0.875,0.78469,0.73562
0.43014,0.875,0.80459,0.74000
0.24424,0.938,0.82135,0.73750
0.65690,0.688,0.85632,0.71625
0.22671,0.875,0.80197,0.73750
0.59135,0.875,0.79893,0.73000
0.67172,0.750,0.80115,0.74313
0.51064,0.875,0.80610,0.74250
0.96376,0.562,0.78889,0.74375
0.28632,0.938,0.81401,0.74187
0.29864,0.938,0.79707,0.73188
0.96948,0.750,0.78406,0.74687
0.48088,0.875,0.79837,0.73938
0.80329,0.625,0.83913,0.73062
0.35811,0.875,0.77850,0.74250
0.93872,0.688,0.74505,0.75813
0.31092,0.938,0.75829,0.74687
0.30334,0.875,0.80463,0.74562
0.40994,0.875,0.74901,0.75875
0.72284,0.750,0.79740,0.74438
0.20995,0.938,0.79289,0.74250
0.29727,0.938,0.75071,0.75375
0.48398,0.688,0.79402,0.74562
1.15901,0.750,0.81352,0.74000
1.19351,0.625,0.80562,0.73813
0.52468,0.875,0.83072,0.74187
0.17093,0.938,0.76286,0.75250
0.56015,0.750,0.78837,0.73625
0.64881,0.812,0.75164,0.75375
0.67097,0.812,0.82079,0.73500
0.57406,0.750,0.83123,0.72813
0.33824,0.938,0.78587,0.74562
0.81907,0.750,0.79901,0.74562
0.23821,0.938,0.80501,0.73687
0.14240,1.000,0.82530,0.73750
0.39097,0.875,0.82054,0.73625
0.33397,0.875,0.79549,0.73875
0.04588,1.000,0.78022,0.74000
0.50439,0.812,0.83898,0.72437
0.28815,0.875,0.77467,0.74500
0.48306,0.812,0.80131,0.73375
0.34170,0.938,0.79190,0.74187
1.00837,0.750,0.80414,0.74125
0.18275,0.938,0.82177,0.74375
0.36610,0.875,0.77147,0.75813
0.47307,0.750,0.85253,0.72000
1.21670,0.812,0.88066,0.71875
0.45713,0.750,0.79051,0.74875
0.31802,1.000,0.76711,0.74500
0.47975,0.812,0.81950,0.73875
0.66667,0.750,0.75037,0.75000
0.42506,0.938,0.74636,0.75187
0.59278,0.812,0.80488,0.73750
1.32702,0.688,0.83807,0.72813
0.71521,0.875,0.76054,0.75250
0.28375,0.938,0.80219,0.73313
