loss,acc,test_loss,test_acc
0.51131,0.812,0.83641,0.73000
0.63580,0.812,0.81359,0.73375
0.67079,0.750,0.83496,0.72500
0.43616,0.938,0.83433,0.72625
0.40922,0.938,0.86199,0.71125
0.69366,0.812,0.83359,0.72125
0.40551,0.875,0.80964,0.73562
1.17216,0.625,0.83842,0.72500
0.52038,0.750,0.84853,0.72625
0.49497,0.875,0.84952,0.72688
0.85424,0.625,0.83965,0.73062
0.79028,0.812,0.88444,0.70625
0.79129,0.625,0.80675,0.73188
0.39106,0.812,0.85876,0.72437
0.67956,0.688,0.81081,0.73750
0.63147,0.688,0.82954,0.73438
0.48304,0.750,0.81011,0.72375
1.14318,0.750,0.82651,0.72937
0.65187,0.812,0.85269,0.71937
0.32178,1.000,0.81318,0.73625
1.10802,0.562,0.85083,0.72313
0.69845,0.812,0.81630,0.73188
0.44504,0.875,0.87515,0.71375
0.10379,1.000,0.79810,0.73625
0.65712,0.750,0.82440,0.73375
0.53372,0.875,0.79366,0.73500
0.24415,0.875,0.82812,0.72750
0.18738,0.938,0.84048,0.72313
0.44224,0.875,0.87049,0.71188
0.73886,0.688,0.89120,0.70937
0.88890,0.750,0.81540,0.72875
0.33069,0.812,0.89118,0.70250
0.72059,0.750,0.88059,0.70562
0.27324,0.875,0.84446,0.72625
0.58148,0.812,0.85457,0.72437
0.73045,0.750,0.78575,0.74750
0.46167,0.812,0.81775,0.73000
0.44373,0.812,0.81851,0.73438
0.64778,0.625,0.82203,0.72937
0.72182,0.812,0.82856,0.72813
0.50427,0.875,0.85851,0.71625
0.29763,0.938,0.87090,0.71437
0.43070,0.812,0.83743,0.72937
0.96626,0.688,0.78574,0.74062
0.47169,0.812,0.79205,0.74438
0.48034,0.875,0.77913,0.74938
0.98483,0.750,0.81356,0.73625
0.48569,0.750,0.80371,0.74562
0.80167,0.750,0.80911,0.73438
0.67814,0.688,0.79216,0.73875
0.45434,0.875,0.83640,0.72562
0.69819,0.812,0.88055,0.71437
0.77736,0.750,0.82229,0.72937
1.16914,0.688,0.76391,0.74500
0.63715,0.875,0.81680,0.73313
0.29316,0.938,0.84637,0.72125
0.58635,0.750,0.77712,0.75313
0.42089,0.875,0.79785,0.73813
0.53862,0.875,0.89277,0.69750
0.44233,0.812,0.78614,0.73813
1.22022,0.688,0.87845,0.70875
0.45164,0.812,0.76744,0.74562
1.37124,0.625,0.79583,0.73625
0.75101,0.750,0.82687,0.73313
0.60714,0.812,0.80374,0.73062
0.22053,0.938,0.80791,0.72375
0.52626,0.875,0.80081,0.73125
0.41136,0.875,0.85304,0.70625
0.54862,0.812,0.87819,0.70562
0.58903,0.875,0.80333,0.73125
0.80409,0.812,0.84569,0.71625
0.72208,0.750,0.79072,0.72875
0.58219,0.875,0.84102,0.71937
1.14855,0.688,0.80691,0.72625
0.70605,0.750,0.84648,0.72062
0.46577,0.750,0.82576,0.73000
0.48950,0.750,0.80866,0.73375
0.73620,0.750,0.80448,0.73938
0.65365,0.688,0.76584,0.74250
0.43225,0.812,0.79375,0.74000
0.58296,0.812,0.81003,0.72875
0.32068,0.875,0.78174,0.74000
0.38364,0.938,0.77842,0.74250
0.35452,0.938,0.77695,0.73875
0.41691,0.812,0.85602,0.72062
0.54369,0.812,0.76395,0.75125
0.69868,0.812,0.79067,0.74062
1.04695,0.500,0.78437,0.73625
0.80249,0.750,0.81877,0.72875
0.24181,0.938,0.82366,0.72875
0.71916,0.688,0.78342,0.74250
0.16906,1.000,0.79613,0.74375
0.52712,0.938,0.77874,0.74938
0.65686,0.812,0.76542,0.75938
0.39791,0.812,0.78231,0.74813
0.64114,0.812,0.76769,0.74187
0.30571,0.875,0.76531,0.75813
0.66629,0.812,0.90715,0.70813
0.43678,0.875,0.78110,0.74375
0.76923,0.750,0.79165,0.74250
0.21926,0.938,0.79959,0.73625
0.34325,0.938,0.81185,0.72875
0.92635,0.750,0.76132,0.74875
0.87765,0.812,0.81425,0.73438
