loss,acc,epoch
0.38833,0.812,4199
0.03466,1.000,4299
0.59833,0.812,4399
0.17819,0.938,4499
0.24102,0.938,4599
0.06086,1.000,4699
0.06217,1.000,4799
0.12973,0.938,4899
0.12749,0.938,4999
0.05839,1.000,5099
0.16683,0.938,5199
0.18405,0.938,5299
0.02489,1.000,5399
0.03600,1.000,5499
0.11925,1.000,5599
0.03378,1.000,5699
0.05234,1.000,5799
0.26100,0.875,5899
0.47751,0.812,5999
0.96197,0.812,6099
0.05488,1.000,6199
0.01856,1.000,6299
0.20157,0.875,6399
0.02282,1.000,6499
0.09656,0.938,6599
0.20057,0.938,6699
0.07246,1.000,6799
0.09853,0.938,6899
0.29917,0.938,6999
0.19775,0.938,7099
0.44831,0.812,7199
0.05963,1.000,7299
0.70038,0.875,7399
0.03671,1.000,7499
0.18339,0.875,7599
0.53752,0.812,7699
0.36624,0.938,7799
0.22666,0.938,7899
0.02056,1.000,7999
0.04764,1.000,8099
0.31649,0.875,8199
0.05049,1.000,8299
0.02455,1.000,8399
0.12719,0.938,8499
0.10459,0.938,8599
0.02756,1.000,8699
0.01977,1.000,8799
0.14902,0.938,8899
0.05690,1.000,8999
0.04085,1.000,9099
0.26917,0.938,9199
0.11140,1.000,9299
0.02526,1.000,9399
0.06679,1.000,9499
0.02367,1.000,9599
0.03567,1.000,9699
0.14543,0.938,9799
0.03287,1.000,9899
0.01675,1.000,9999
