loss,acc,test_loss,test_acc
0.22606,0.875,0.75591,0.76125
0.48626,0.875,0.76398,0.76750
0.34195,0.875,0.76611,0.76000
0.29145,0.812,0.78042,0.76500
0.54242,0.812,0.80240,0.75250
0.36468,0.812,0.76782,0.75938
0.07729,1.000,0.78579,0.76000
0.08842,1.000,0.82598,0.75062
0.05175,1.000,0.78138,0.75187
0.29545,0.875,0.80510,0.75625
0.04468,1.000,0.78888,0.75813
0.10528,1.000,0.79075,0.76562
0.06155,1.000,0.79594,0.76625
0.36596,0.938,0.77590,0.76000
0.12203,1.000,0.80386,0.75187
0.15621,0.938,0.77190,0.77250
0.83924,0.812,0.82409,0.74938
0.46275,0.938,0.77777,0.76750
0.40357,0.875,0.79366,0.75938
0.30562,0.875,0.82141,0.75187
0.01441,1.000,0.80712,0.75938
0.12685,0.938,0.82651,0.75625
0.46855,0.812,0.81214,0.75125
0.14214,1.000,0.80439,0.75125
0.08602,1.000,0.80264,0.75938
0.67466,0.812,0.81898,0.74250
0.35123,0.875,0.84153,0.74500
0.21635,0.938,0.84667,0.74375
0.08524,0.938,0.78542,0.75875
0.24270,0.875,0.81564,0.74750
0.18657,0.875,0.79778,0.75938
0.09964,1.000,0.79543,0.76000
0.41634,0.875,0.77254,0.77063
0.20692,0.875,0.77970,0.75500
0.29521,0.875,0.75976,0.76875
0.29830,0.875,0.78181,0.76187
0.32258,0.812,0.81317,0.74938
0.08540,0.938,0.76648,0.76562
0.13885,0.938,0.74385,0.76250
0.29799,0.875,0.71621,0.77000
0.26286,0.875,0.78278,0.76438
0.79049,0.750,0.75670,0.76875
0.07653,1.000,0.76089,0.75187
0.01998,1.000,0.74779,0.77125
0.31447,0.875,0.76205,0.76062
0.37501,0.812,0.74731,0.77438
0.10759,0.938,0.76966,0.76313
0.15768,0.938,0.75654,0.76250
0.54908,0.750,0.75435,0.76562
0.32772,0.875,0.78633,0.76062
0.05642,1.000,0.81210,0.75875
0.19946,0.938,0.84886,0.74875
0.08958,1.000,0.80790,0.75438
0.11104,0.938,0.81392,0.75250
0.33792,0.812,0.80144,0.74750
0.16710,0.875,0.79385,0.74938
0.15675,0.875,0.80402,0.74313
0.43663,0.750,0.79278,0.76375
0.13345,1.000,0.84978,0.74125
0.74614,0.938,0.77963,0.76875
0.21866,0.875,0.78370,0.75813
0.18046,0.938,0.82127,0.75187
0.19320,0.938,0.79203,0.76000
0.06838,1.000,0.78948,0.76313
